Back,Back
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Add New Images","Add New Images"
Global,Global
"Coupon Code","Coupon Code"
"Created At","Created At"
"Expiration Date","Expiration Date"
"Actual Amount","Actual Amount"
"Current Amount","Current Amount"
"Times Used","Times Used"
"Gift Coupon Code %1","Gift Coupon Code %1"
Prices,Prices
"Add Priceslab","Add Priceslab"
"Gift Coupon ( %1 )","Gift Coupon ( %1 )"
"This Gift Card no longer exists.","This Gift Card no longer exists."
"New Gift Card","New Gift Card"
"Edit Gift Card","Edit Gift Card"
"Manage Gift Cards","Manage Gift Cards"
"Manage Gift Coupons","Manage Gift Coupons"
"This Gift Template no longer exists.","This Gift Template no longer exists."
"New Gift Template","New Gift Template"
"Edit Gift Template","Edit Gift Template"
"Manage Gift Card Templates","Manage Gift Card Templates"
"Unable to Delete some templates.[' . . ']","Unable to Delete some templates.[' . . ']"
"'Unable to Delete templates. Error Message ' .","'Unable to Delete templates. Error Message ' ."
"Successfully Deleted Data.","Successfully Deleted Data."
"Images are required for gift templates.","Images are required for gift templates."
"Please Upload Images Correctly.","Please Upload Images Correctly."
"Data Saved Successfully.","Data Saved Successfully."
"Unable To save Data.","Unable To save Data."
"Error: During Uploading Images.","Error: During Uploading Images."
"Check Coupon Code","Check Coupon Code"
"Error: Cannot apply more than one coupon codes on same order.","Error: Cannot apply more than one coupon codes on same order."
"Error: Coupon code not avaliable for gift card product","Error: Coupon code not avaliable for gift card product"
"Error: The Product %1s does't allow checkout with gift coupon.","Error: The Product %1s does't allow checkout with gift coupon."
Success,Success
"Success: Removed Coupon code %1","Success: Removed Coupon code %1"
"Success: Coupon code is already removed.","Success: Coupon code is already removed."
"Success: Your coupon was successfully applied.","Success: Your coupon was successfully applied."
message,message
"Error: Unable to apply coupon code.","Error: Unable to apply coupon code."
"Error: Not a valid Coupon code.","Error: Not a valid Coupon code."
"Error: The Coupon code is already used.","Error: The Coupon code is already used."
"Error: Coupon code is expired","Error: Coupon code is expired"
"Error: Not a valid Coupon code","Error: Not a valid Coupon code"
"Success: Succesfully applied the coupon code.","Success: Succesfully applied the coupon code."
"Please Select Name.","Please Select Name."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"Gift Coupon %1","Gift Coupon %1"
"Gift Coupon ","Gift Coupon "
"Please Fill all the values.","Please Fill all the values."
"Unable To select the giftcard Image, Please Try Again.","Unable To select the giftcard Image, Please Try Again."
"Coupon Code %1 dosent have sufficient Amount.","Coupon Code %1 dosent have sufficient Amount."
"Unable to apply gift coupon.","Unable to apply gift coupon."
"Unable to transfer amount from GiftCard","Unable to transfer amount from GiftCard"
"Coupon Code %1 dosent have sufficient Amount. You have %2 credit left.","Coupon Code %1 dosent have sufficient Amount. You have %2 credit left."
"To Reorder the Gift Card please re-fill the details.","To Reorder the Gift Card please re-fill the details."
"Cannot Apply more than one coupon codes.","Cannot Apply more than one coupon codes."
"We can't add the item to the cart right now. Please Fill all the required values.","We can't add the item to the cart right now. Please Fill all the required values."
"Please Fill all the options, before add to cart.","Please Fill all the options, before add to cart."
" From "," From "
" To "," To "
"Not Avaliable","Not Avaliable"
View,View
"Please Ensure manually, that it is less than the maximum amount of giftcard","Please Ensure manually, that it is less than the maximum amount of giftcard"
"Please Ensure manually, that it is more than the minimum amount of giftcard","Please Ensure manually, that it is more than the minimum amount of giftcard"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","Delete image"
Hidden,Hidden
"Alt Text","Alt Text"
Role,Role
"Image Size","Image Size"
{size},{size}
"Image Resolution","Image Resolution"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Hide from Product Page"
"Apply Gift Code","Apply Gift Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Gift","Cancel Gift"
"View more","View more"
"Check Coupon","Check Coupon"
"Enter Coupon Code Here","Enter Coupon Code Here"
"View all coupon","View all coupon"
"My Gift Cards","My Gift Cards"
"Card Number","Card Number"
"Initial Value","Initial Value"
"Current Value","Current Value"
Value,Value
"You have no Gift cards.","You have no Gift cards."
Price,Price
"No Coupon Code Found.","No Coupon Code Found."
"Cart Updation From Here Is not Allowed","Cart Updation From Here Is not Allowed"
"Message will show here ","Message will show here "
"Click Here  For Preview","Click Here  For Preview"
"Choose A Card : ","Choose A Card : "
"Browse ","Browse "
"Price ("" . . "")","Price ("" . . "")"
"Other Amount","Other Amount"
From,From
"From Name","From Name"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Delivery Date","Delivery Date"
"Leave Empty to send instantly.","Leave Empty to send instantly."
"Have Something To Say.","Have Something To Say."
"Text Limit is 500. ","Text Limit is 500. "
Someone,Someone
"Gift Card","Gift Card"
"Gift card sent to:","Gift card sent to:"
Subject:,Subject:
"%1 sent you a %2","%1 sent you a %2"
"Gift Card Id:","Gift Card Id:"
Expires,Expires
"Apply Gift Coupon","Apply Gift Coupon"
"Enter Gift coupon code","Enter Gift coupon code"
"Cancel Gift Coupon","Cancel Gift Coupon"
"Your Gift coupon was successfully removed.","Your Gift coupon was successfully removed."
"Unable To remove your coupon code.","Unable To remove your coupon code."
"Your coupon was successfully applied.","Your coupon was successfully applied."
"Unable to apply coupon code. Please Check and try again.","Unable to apply coupon code. Please Check and try again."
"Manage GiftCard","Manage GiftCard"
GiftCard,GiftCard
"Not Available text:","Not Available text:"
"Allowed Payment Methods","Allowed Payment Methods"
"Gift Price Slab:","Gift Price Slab:"
Images,Images
"Employee Information","Employee Information"
"Gift Card Details","Gift Card Details"
"Product Name","Product Name"
"Product Image","Product Image"
"Maximum Card Price","Maximum Card Price"
"Minimum Card Price","Minimum Card Price"
"Expire After Day","Expire After Day"
"Gift Card Image","Gift Card Image"
"GiftCard Image","GiftCard Image"
"Card Templates","Card Templates"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Code Template","Code Template"
Desciption,Desciption
"Gallery Images (*)","Gallery Images (*)"
"Coupon Code List","Coupon Code List"
"Create New Gift Card","Create New Gift Card"
Delete,Delete
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
ID,ID
"Card Name","Card Name"
increment_id,increment_id
"template id","template id"
MM-dd-YYYY,MM-dd-YYYY
"Created At Date","Created At Date"
"Coupon Price ","Coupon Price "
"Add New Template","Add New Template"
Name,Name
"Template Format","Template Format"
"Gift Discount","Gift Discount"
"Check Gift Card Value","Check Gift Card Value"
